"Serie","cvegeo","Entidad_federativa","Periodo","Sexo|Total_Grupo_de_edad|Total","Sexo|Total_Grupo_de_edad|De_15_a_24_años","Sexo|Total_Grupo_de_edad|De_25_a_64_años","Sexo|Total_Grupo_de_edad|De_65_años_y_más","Sexo|Hombres_Grupo_de_edad|Total","Sexo|Hombres_Grupo_de_edad|De_15_a_24_años","Sexo|Hombres_Grupo_de_edad|De_25_a_64_años","Sexo|Hombres_Grupo_de_edad|De_65_años_y_más","Sexo|Mujeres_Grupo_de_edad|Total","Sexo|Mujeres_Grupo_de_edad|De_15_a_24_años","Sexo|Mujeres_Grupo_de_edad|De_25_a_64_años","Sexo|Mujeres_Grupo_de_edad|De_65_años_y_más",
"Tasa_de_desocupación,_desglosada_por_sexo_y_edad_(1995-2020)",	01,"Aguascalientes","2000","2.54718850769296","5.38534856110898","1.51943637385208","0.05418844829784","2.29242920439222","5.37133158570821","1.33339016835345","0.06613242044658","2.99885726024935","5.40434111457643","1.87658053982863","0",
"Tasa_de_desocupación,_desglosada_por_sexo_y_edad_(1995-2020)",	02,"Baja_California","2000","2.0287835418504","3.40774072190887","1.57272716955866","1.45000611172228","1.59239865237279","2.62100088163656","1.24670773649586","1.90352020860496","2.81740123066148","4.67549801002384","2.17619758812856","0",
"Tasa_de_desocupación,_desglosada_por_sexo_y_edad_(1995-2020)",	03,"Baja_California_Sur","2000","3.15119309145918","7.9070178397873","1.81959571848776","1.66656886332961","2.53567431449356","6.79863564380558","1.28842193646922","2.13549890969244","4.32153709217028","10.0525856580281","2.80238654854457","0",
"Tasa_de_desocupación,_desglosada_por_sexo_y_edad_(1995-2020)",	04,"Campeche","2000","2.31867396009679","4.74865744392437","1.553571678053","0.33534366226474","1.78142292216382","3.28687097795127","1.31283534381065","0.40695290072242","3.58382021372452","8.44003396659951","2.08539995852738","0",
"Tasa_de_desocupación,_desglosada_por_sexo_y_edad_(1995-2020)",	05,"Coahuila_de_Zaragoza","2000","2.96319583816726","6.34326296195955","1.81830781300658","0.2575299518531","2.19405683546779","4.68208840315675","1.41081925848385","0.21541069284554","4.48533059762363","9.23963287010672","2.64751037282066","0.41857953011071",
"Tasa_de_desocupación,_desglosada_por_sexo_y_edad_(1995-2020)",	06,"Colima","2000","2.89622082241866","4.93910915864984","2.22610683288489","1.29032258064516","2.07897287502283","3.60833474504489","1.60615665043393","0.52785642305292","4.25067126072854","7.14465148582153","3.23787323787324","2.90325855243121",
"Tasa_de_desocupación,_desglosada_por_sexo_y_edad_(1995-2020)",	07,"Chiapas","2000","1.92845305530877","4.00567790057637","1.06182277617005","0.69979263888491","1.44162294711995","2.96097197868424","0.76971294088595","0.84829221269833","2.84233111143021","6.04126630929505","1.57720532042171","0.15783668657057",
"Tasa_de_desocupación,_desglosada_por_sexo_y_edad_(1995-2020)",	08,"Chihuahua","2000","1.9769436169494","3.58415977839139","1.465030494042","1.25977843092923","1.73916384939008","3.13073856765352","1.31940305947879","1.37050062060405","2.43175339306615","4.32230009362067","1.7479827370057","0.48938467074486",
"Tasa_de_desocupación,_desglosada_por_sexo_y_edad_(1995-2020)",	09,"Ciudad_de_México","2000","3.53056187712152","8.45242696596229","2.36559906938945","1.86627591036035","2.93773636817443","7.90078687271214","1.77476588660591","2.09182882906716","4.43145834257392","9.22707907366694","3.26401541164214","1.29939209726444",
"Tasa_de_desocupación,_desglosada_por_sexo_y_edad_(1995-2020)",	10,"Durango","2000","2.57182336659983","5.29697245489881","1.66851655777435","1.07504561296173","2.05384134643335","4.33311907728658","1.35812628453832","0.49588142924048","3.60606439841189","7.11261127194999","2.27375571494702","3.29583267311044",
"Tasa_de_desocupación,_desglosada_por_sexo_y_edad_(1995-2020)",	11,"Guanajuato","2000","2.72198094828154","4.70545121865458","1.87147691626698","1.07445651896505","2.56480889308689","4.73320655363674","1.73963273489856","1.33161267467532","3.00845447791516","4.6661784640314","2.13275231040486","0",
"Tasa_de_desocupación,_desglosada_por_sexo_y_edad_(1995-2020)",	12,"Guerrero","2000","0.69764498261262","1.70489976802388","0.43334781790557","0.08239763763746","0.54540560831763","1.0271334757371","0.41739079150397","0.10573966323346","1.01878922267889","3.27177434899538","0.46468588694448","0",
"Tasa_de_desocupación,_desglosada_por_sexo_y_edad_(1995-2020)",	13,"Hidalgo","2000","2.26558752453127","6.04739442711016","1.17161725807111","0.20114486756161","1.27832539248614","2.59049215332866","0.96929086982406","0.27538692356286","4.18761548970068","11.4560787448247","1.58589210879875","0",
"Tasa_de_desocupación,_desglosada_por_sexo_y_edad_(1995-2020)",	14,"Jalisco","2000","2.47896705477931","4.0313642278443","1.89022769533006","0.5252262269592","2.04296049727932","3.76574094719711","1.39397407770521","0.70713094701995","3.17618425146244","4.41102154727784","2.69851196045026","0",
"Tasa_de_desocupación,_desglosada_por_sexo_y_edad_(1995-2020)",	15,"México","2000","3.31646474468888","7.00115158303229","2.16468319723061","0.27026958050792","2.87725014834784","6.06686722448598","1.91254653617972","0.38411873948117","4.1659208766394","8.68754300480916","2.66064873887131","0",
"Tasa_de_desocupación,_desglosada_por_sexo_y_edad_(1995-2020)",	16,"Michoacán_de_Ocampo","2000","2.69872207513056","4.27246174532176","2.12996481063798","1.1946285315661","2.06514215401562","2.83719766715314","1.75403470651756","1.60070771644607","3.94768005024164","7.19140189218597","2.82880814198854","0",
"Tasa_de_desocupación,_desglosada_por_sexo_y_edad_(1995-2020)",	17,"Morelos","2000","2.14084168283117","4.23332165875981","1.5337039430343","0.4261965589471","1.47911142984219","2.93100615402999","1.07882308457424","0.58098271906514","3.34800930876155","6.26199755686115","2.3920813857575","0",
"Tasa_de_desocupación,_desglosada_por_sexo_y_edad_(1995-2020)",	18,"Nayarit","2000","2.74389730844755","4.97207795026114","2.1197077461555","0.89830855072887","2.39123497203792","3.73394902357746","2.03732070458951","1.15240449796634","3.35891628105923","7.13547566525568","2.25821565737229","0.20211952365344",
"Tasa_de_desocupación,_desglosada_por_sexo_y_edad_(1995-2020)",	19,"Nuevo_León","2000","2.76240955530309","5.47507752465124","1.78179385981886","0.68796326206337","2.24400652526193","4.58287368255163","1.48472193226364","0.90315186246419","3.84932007183765","6.95948921180095","2.45691235790246","0",
"Tasa_de_desocupación,_desglosada_por_sexo_y_edad_(1995-2020)",	20,"Oaxaca","2000","1.34502683609154","1.97952467119245","1.26112356876438","0.33780659777608","1.10774175828255","1.63871204314264","1.0603165102484","0.10939652246821","1.85764893987238","2.76914175647519","1.67530895270982","0.93628061219152",
"Tasa_de_desocupación,_desglosada_por_sexo_y_edad_(1995-2020)",	21,"Puebla","2000","1.96156455416414","3.82747946279306","1.39710194084348","0.09073640916155","1.56158790352723","2.66681275563416","1.28545971365563","0.11858940163645","2.75843820627783","5.93516368625845","1.6194673309063","0",
"Tasa_de_desocupación,_desglosada_por_sexo_y_edad_(1995-2020)",	22,"Querétaro","2000","2.42572084900835","4.53161957498305","1.72656443951964","0.5730563002681","2.02971640723018","3.48040183590492","1.63135440017355","0.76104855578798","3.12308327386434","5.91811895764573","1.9096844671242","0",
"Tasa_de_desocupación,_desglosada_por_sexo_y_edad_(1995-2020)",	23,"Quintana_Roo","2000","1.5965572047383","3.45998954246556","0.94552221068406","0.53041604508536","1.14460104724116","2.33830165458772","0.73262360039514","0.61083273681698","2.62107314291145","5.88486467548394","1.42436494137762","0",
"Tasa_de_desocupación,_desglosada_por_sexo_y_edad_(1995-2020)",	24,"San_Luis_Potosí","2000","2.10359526166225","4.55091274837157","1.41761873987547","0.73121701476402","1.70373005558903","3.72969099290857","1.13421253405994","0.91214194261991","2.87870187503812","6.00894433999886","1.95099937641537","0",
"Tasa_de_desocupación,_desglosada_por_sexo_y_edad_(1995-2020)",	25,"Sinaloa","2000","4.66137745604963","8.44658821114655","3.37271619802901","1.88631814161352","4.08361262143263","7.09427051539203","3.08859340112722","2.08537210494431","5.85586545791551","11.0736685486158","3.95706687204593","1.09416291900412",
"Tasa_de_desocupación,_desglosada_por_sexo_y_edad_(1995-2020)",	26,"Sonora","2000","3.08072113550766","6.11095549101417","2.08489544388674","1.31162250606988","2.89457432580941","5.59044572120892","2.07376755349823","1.5672053606622","3.44193563241578","6.97122341548883","2.10707114315754","0",
"Tasa_de_desocupación,_desglosada_por_sexo_y_edad_(1995-2020)",	27,"Tabasco","2000","2.77242655015495","6.66653964140773","1.49570136284985","0.22563661759966","2.1976150954864","5.34697658294015","1.19532947708381","0.17836784230076","4.2169773527331","9.79744492712644","2.24664823214176","0.46438190768086",
"Tasa_de_desocupación,_desglosada_por_sexo_y_edad_(1995-2020)",	28,"Tamaulipas","2000","2.54177933264572","5.45224528418324","1.60907252038965","0.31178208073515","2.09462170159475","4.63256023893548","1.33812346432394","0.23604050070492","3.39087343842464","6.83544381551429","2.1291234134537","0.63182597707373",
"Tasa_de_desocupación,_desglosada_por_sexo_y_edad_(1995-2020)",	29,"Tlaxcala","2000","3.186119086686","5.47887336878163","2.41481517898612","0.74667434126375","2.31024469562899","4.00375471734259","1.79537843723156","0.47206266318538","4.92175474602361","8.0920343771475","3.65673498584891","1.64292044447473",
